CVCL:B375	CLO:CLO_0001018
CVCL:G217	CLO:CLO_0001019
CVCL:6479	CLO:CLO_0001020
CVCL:6480	CLO:CLO_0001021
CVCL:4977	CLO:CLO_0001022
CVCL:3627	CLO:CLO_0001023
CVCL:3628	CLO:CLO_0001024
CVCL:6494	CLO:CLO_0001025
CVCL:IP58	BTO:BTO:0006002
CVCL:IP59	BTO:BTO:0006003
CVCL:2260	CLO:CLO_0002500
CVCL:2260	CLO:CLO_0002501
CVCL:T367	CLO:CLO_0050510
CVCL:L211	BTO:BTO:0005352
CVCL:B376	CLO:CLO_0001027
CVCL:B377	CLO:CLO_0001028
CVCL:B378	CLO:CLO_0001029
CVCL:6341	CLO:CLO_0001026
CVCL:8478	BTO:BTO:0004581
CVCL:6751	CLO:CLO_0050492
CVCL:2267	CLO:CLO_0001030
CVCL:M605	EFO:EFO_0006354
CVCL:0464	BTO:BTO:0000942
CVCL:0464	CLO:CLO_0008162
CVCL:B379	CLO:CLO_0001031
CVCL:H997	CLO:CLO_0001032
CVCL:D146	CLO:CLO_0001033
CVCL:G563	CLO:CLO_0001034
CVCL:G016	CLO:CLO_0001035
CVCL:G564	CLO:CLO_0001036
CVCL:N538	CLO:CLO_0050298
CVCL:N539	CLO:CLO_0050283
CVCL:H998	CLO:CLO_0001037
CVCL:6481	CLO:CLO_0001038
CVCL:6482	CLO:CLO_0001039
CVCL:9138	CLO:CLO_0001043
CVCL:G219	CLO:CLO_0001044
CVCL:G189	CLO:CLO_0001045
CVCL:5948	BTO:BTO:0002603
CVCL:J035	CLO:CLO_0001040
CVCL:8030	BTO:BTO:0002947
CVCL:G218	CLO:CLO_0001041
CVCL:7233	CLO:CLO_0001042
CVCL:G220	CLO:CLO_0001046
CVCL:G221	CLO:CLO_0001047
CVCL:T730	CLO:CLO_0050316
CVCL:Z708	EFO:EFO_0005648
CVCL:8032	BTO:BTO:0002964
CVCL:2263	CLO:CLO_0001048
CVCL:8987	EFO:EFO_0007099
CVCL:8988	EFO:EFO_0007100
CVCL:9139	CLO:CLO_0001049
CVCL:8989	EFO:EFO_0007101
CVCL:E958	CLO:CLO_0001050
CVCL:E959	CLO:CLO_0001051
CVCL:6551	CLO:CLO_0001052
CVCL:J713	CLO:CLO_0050363
CVCL:G565	CLO:CLO_0001058
CVCL:6760	CLO:CLO_0001064
CVCL:G222	CLO:CLO_0001053
CVCL:G753	CLO:CLO_0001054
CVCL:G762	CLO:CLO_0001055
CVCL:5239	BTO:BTO:0005011
CVCL:5239	CLO:CLO_0001056
CVCL:5239	EFO:EFO_0002810
CVCL:E960	CLO:CLO_0001057
CVCL:2264	CLO:CLO_0001009
CVCL:IP60	BTO:BTO:0006004
CVCL:E961	CLO:CLO_0001059
CVCL:E962	CLO:CLO_0001060
CVCL:J036	CLO:CLO_0001061
CVCL:6759	CLO:CLO_0001062
CVCL:RW69	BTO:BTO:0002962
CVCL:J039	CLO:CLO_0001063
CVCL:G566	CLO:CLO_0001065
CVCL:6342	CLO:CLO_0001066
CVCL:0Q73	BTO:BTO:0005656
CVCL:J044	CLO:CLO_0001075
CVCL:C527	BTO:BTO:0006012
CVCL:J045	CLO:CLO_0001067
CVCL:J042	CLO:CLO_0001068
CVCL:2265	CLO:CLO_0001010
CVCL:2266	CLO:CLO_0001011
CVCL:J040	CLO:CLO_0001069
CVCL:E963	CLO:CLO_0001070
CVCL:E964	CLO:CLO_0001071
CVCL:0110	BTO:BTO:0003605
CVCL:0110	CLO:CLO_0001072
CVCL:J041	CLO:CLO_0001073
CVCL:E965	CLO:CLO_0001074
CVCL:3475	CLO:CLO_0001076
CVCL:8044	BTO:BTO:0002948
CVCL:4466	CLO:CLO_0001077
CVCL:T729	CLO:CLO_0050350
CVCL:G569	CLO:CLO_0001090
CVCL:F251	CLO:CLO_0001078
CVCL:9140	CLO:CLO_0001079
CVCL:6752	CLO:CLO_0051013
CVCL:8071	CLO:CLO_0051014
CVCL:G567	CLO:CLO_0001080
CVCL:G568	CLO:CLO_0001081
CVCL:E966	CLO:CLO_0001082
CVCL:2269	CLO:CLO_0001083
CVCL:J043	CLO:CLO_0001086
CVCL:E967	CLO:CLO_0001087
CVCL:3476	CLO:CLO_0001085
CVCL:2270	BTO:BTO:0003167
CVCL:2270	CLO:CLO_0001084
CVCL:2270	CLO:CLO_0001088
CVCL:2270	CLO:CLO_0024221
CVCL:2270	EFO:EFO_0006355
CVCL:3477	CLO:CLO_0001089
CVCL:9W36	CLO:CLO_0050098
CVCL:7234	CLO:CLO_0001091
CVCL:E968	CLO:CLO_0001092
CVCL:E969	CLO:CLO_0001093
CVCL:2271	CLO:CLO_0001094
CVCL:J046	CLO:CLO_0001095
CVCL:J064	CLO:CLO_0001098
CVCL:G570	CLO:CLO_0001101
CVCL:D290	CLO:CLO_0001103
CVCL:J080	CLO:CLO_0001105
CVCL:J081	CLO:CLO_0001096
CVCL:J082	CLO:CLO_0001097
CVCL:J083	CLO:CLO_0001099
CVCL:6343	CLO:CLO_0001100
CVCL:2272	CLO:CLO_0001102
CVCL:2273	CLO:CLO_0001104
CVCL:9141	CLO:CLO_0001106
CVCL:8990	EFO:EFO_0007102
CVCL:J020	CLO:CLO_0001107
CVCL:D147	CLO:CLO_0001108
CVCL:9142	CLO:CLO_0001109
CVCL:J084	CLO:CLO_0001110
CVCL:9143	CLO:CLO_0001111
CVCL:6552	CLO:CLO_0001112
CVCL:D647	BTO:BTO:0002220
CVCL:J085	CLO:CLO_0001114
CVCL:J086	CLO:CLO_0001115
CVCL:8937	CLO:CLO_0001113
CVCL:J089	CLO:CLO_0001119
CVCL:G571	CLO:CLO_0001120
CVCL:2274	CLO:CLO_0001116
CVCL:J087	CLO:CLO_0001117
CVCL:J088	CLO:CLO_0001118
CVCL:8099	BTO:BTO:0002972
CVCL:3478	CLO:CLO_0001121
CVCL:V058	CLO:CLO_0001004
CVCL:F665	BTO:BTO:0004320
CVCL:E970	CLO:CLO_0001122
CVCL:0112	BTO:BTO:0002734
CVCL:8938	CLO:CLO_0001123
CVCL:G572	CLO:CLO_0001130
CVCL:J097	CLO:CLO_0001124
CVCL:RW70	BTO:BTO:0002963
CVCL:E971	CLO:CLO_0001125
CVCL:G573	CLO:CLO_0001126
CVCL:8778	CLO:CLO_0001127
CVCL:E972	CLO:CLO_0001128
CVCL:E973	CLO:CLO_0001129
CVCL:2275	CLO:CLO_0001131
CVCL:2276	CLO:CLO_0001132
CVCL:8991	EFO:EFO_0007103
CVCL:J090	CLO:CLO_0001133
CVCL:8992	EFO:EFO_0007104
CVCL:G088	CLO:CLO_0001134
CVCL:2278	BTO:BTO:0004314
CVCL:2278	CLO:CLO_0001135
CVCL:2278	CLO:CLO_0018771
CVCL:F226	CLO:CLO_0018859
CVCL:3479	CLO:CLO_0001136
CVCL:V059	CLO:CLO_0001005
CVCL:K049	EFO:EFO_0001190
